station,datetime,TEC,Bz_GSM,speed_kms,Kp,TEC_baseline,TEC_disturbance,TEC_lag1,Bz_lag1,Kp_lag1,speed_lag1,TEC_lag2,Bz_lag2,Kp_lag2,speed_lag2,TEC_lag3,Bz_lag3,Kp_lag3,speed_lag3,target_1h,target_3h,target_6h,risk_1h
IISC,2026-01-19 22:00:00,5.994135948843603,58.3,1084.0,8.7,-17.647422349578875,23.64155829842248,6.274019410698423,-21.8,8.7,1121.0,-9.514959366910231,-5.7,8.3,1108.0,-34.06019808654417,-5.4,8.3,739.0,10.411512933952633,-13.425912827852375,-30.770320413455288,Green
IISC,2026-01-19 23:00:00,8.65110122491932,58.9,1074.0,8.7,-1.7604117090333142,10.411512933952633,5.994135948843603,58.3,8.7,1084.0,6.274019410698423,-21.8,8.7,1121.0,-9.514959366910231,-5.7,8.3,1108.0,3.845326036757875,-32.353863303771334,-18.5024726169906,Green
IISC,2026-01-20 00:00:00,9.979403716528887,52.7,1054.0,6.7,6.134077679771012,3.845326036757875,8.65110122491932,58.9,8.7,1074.0,5.994135948843603,58.3,8.7,1084.0,6.274019410698423,-21.8,8.7,1121.0,-13.425912827852375,-38.70707269015977,-14.372167321736129,Green
IISC,2026-01-20 01:00:00,-7.291835148081362,36.9,1034.0,6.7,6.134077679771012,-13.425912827852375,9.979403716528887,52.7,6.7,1054.0,8.65110122491932,58.9,8.7,1074.0,5.994135948843603,58.3,8.7,1084.0,-32.353863303771334,-30.770320413455288,-16.063848748573378,Red
IISC,2026-01-20 02:00:00,-26.21978562400032,22.4,964.0,6.7,6.134077679771012,-32.353863303771334,-7.291835148081362,36.9,6.7,1034.0,9.979403716528887,52.7,6.7,1054.0,8.65110122491932,58.9,8.7,1074.0,-38.70707269015977,-18.5024726169906,-14.274526948415392,Red
IISC,2026-01-20 03:00:00,-39.35592228977865,10.1,923.0,5.7,-0.6488495996188797,-38.70707269015977,-26.21978562400032,22.4,6.7,964.0,-7.291835148081362,36.9,6.7,1034.0,9.979403716528887,52.7,6.7,1054.0,-30.770320413455288,-14.372167321736129,-20.620757371962355,Red
IISC,2026-01-20 04:00:00,-47.52613079949613,1.1,917.0,5.7,-16.755810386040842,-30.770320413455288,-39.35592228977865,10.1,5.7,923.0,-26.21978562400032,22.4,6.7,964.0,-7.291835148081362,36.9,6.7,1034.0,-18.5024726169906,-16.063848748573378,-21.954742341041168,Yellow
IISC,2026-01-20 05:00:00,-51.29032657388009,-3.5,909.0,5.7,-32.787853956889485,-18.5024726169906,-47.52613079949613,1.1,5.7,917.0,-39.35592228977865,10.1,5.7,923.0,-26.21978562400032,22.4,6.7,964.0,-14.372167321736129,-14.274526948415392,-1.9378549473847075,Green
IISC,2026-01-20 06:00:00,-57.81319386637352,-18.0,959.0,7.3,-43.44102654463739,-14.372167321736129,-51.29032657388009,-3.5,5.7,909.0,-47.52613079949613,1.1,5.7,917.0,-39.35592228977865,10.1,5.7,923.0,-16.063848748573378,-20.620757371962355,1.5075704548403903,Green
IISC,2026-01-20 07:00:00,-65.47207743526148,-19.3,969.0,7.3,-49.408228686688105,-16.063848748573378,-57.81319386637352,-18.0,7.3,959.0,-51.29032657388009,-3.5,5.7,909.0,-47.52613079949613,1.1,5.7,917.0,-14.274526948415392,-21.954742341041168,15.08484994043748,Green
IISC,2026-01-20 08:00:00,-68.8262871685422,-18.1,954.0,7.3,-54.5517602201268,-14.274526948415392,-65.47207743526148,-19.3,7.3,969.0,-57.81319386637352,-18.0,7.3,959.0,-51.29032657388009,-3.5,5.7,909.0,-20.620757371962355,-1.9378549473847075,36.679737918683536,Yellow
IISC,2026-01-20 09:00:00,-82.26339302277985,-16.3,951.0,7.7,-61.642635650817496,-20.620757371962355,-68.8262871685422,-18.1,7.3,954.0,-65.47207743526148,-19.3,7.3,969.0,-57.81319386637352,-18.0,7.3,959.0,-21.954742341041168,1.5075704548403903,27.186203031835557,Yellow
IISC,2026-01-20 10:00:00,-89.10392464294301,-14.5,951.0,7.7,-67.14918230190185,-21.954742341041168,-82.26339302277985,-16.3,7.7,951.0,-68.8262871685422,-18.1,7.3,954.0,-65.47207743526148,-19.3,7.3,969.0,-1.9378549473847075,15.08484994043748,14.281428877660035,Green
IISC,2026-01-20 11:00:00,-72.70199706331162,-8.6,948.0,7.7,-70.76414211592692,-1.9378549473847075,-89.10392464294301,-14.5,7.7,951.0,-82.26339302277985,-16.3,7.7,951.0,-68.8262871685422,-18.1,7.3,954.0,1.5075704548403903,36.679737918683536,11.466260719176963,Green
IISC,2026-01-20 12:00:00,-69.68685615363083,-3.8,951.0,7.3,-71.19442660847122,1.5075704548403903,-72.70199706331162,-8.6,7.7,948.0,-89.10392464294301,-14.5,7.7,951.0,-82.26339302277985,-16.3,7.7,951.0,15.08484994043748,27.186203031835557,12.429882236218948,Green
IISC,2026-01-20 13:00:00,-56.10957666803374,-8.2,924.0,7.3,-71.19442660847122,15.08484994043748,-69.68685615363083,-3.8,7.3,951.0,-72.70199706331162,-8.6,7.7,948.0,-89.10392464294301,-14.5,7.7,951.0,36.679737918683536,14.281428877660035,17.646132034548486,Red
IISC,2026-01-20 14:00:00,-34.51468868978768,-9.4,906.0,7.3,-71.19442660847122,36.679737918683536,-56.10957666803374,-8.2,7.3,924.0,-69.68685615363083,-3.8,7.3,951.0,-72.70199706331162,-8.6,7.7,948.0,27.186203031835557,11.466260719176963,25.82949351848442,Red
IISC,2026-01-20 15:00:00,-35.71201337899673,-7.9,882.0,7.3,-62.89821641083228,27.186203031835557,-34.51468868978768,-9.4,7.3,906.0,-56.10957666803374,-8.2,7.3,924.0,-69.68685615363083,-3.8,7.3,951.0,14.281428877660035,12.429882236218948,23.73822144396292,Green
IISC,2026-01-20 16:00:00,-31.6293661458552,-5.1,867.0,7.3,-45.910795023515234,14.281428877660035,-35.71201337899673,-7.9,7.3,882.0,-34.51468868978768,-9.4,7.3,906.0,-56.10957666803374,-8.2,7.3,924.0,11.466260719176963,17.646132034548486,15.436392895045724,Green
IISC,2026-01-20 17:00:00,-23.647090315215245,-4.3,862.0,7.3,-35.11335103439221,11.466260719176963,-31.6293661458552,-5.1,7.3,867.0,-35.71201337899673,-7.9,7.3,882.0,-34.51468868978768,-9.4,7.3,906.0,12.429882236218948,25.82949351848442,6.539262910836392,Green
IISC,2026-01-20 18:00:00,-20.64214518160249,-13.4,850.0,7.3,-33.07202741782144,12.429882236218948,-23.647090315215245,-4.3,7.3,862.0,-31.6293661458552,-5.1,7.3,867.0,-35.71201337899673,-7.9,7.3,882.0,17.646132034548486,23.73822144396292,2.48007467396292,Green
IISC,2026-01-20 19:00:00,-9.992096195986734,-11.1,850.0,7.3,-27.63822823053522,17.646132034548486,-20.64214518160249,-13.4,7.3,850.0,-23.647090315215245,-4.3,7.3,862.0,-31.6293661458552,-5.1,7.3,867.0,25.82949351848442,15.436392895045724,-13.38831070956681,Yellow
IISC,2026-01-20 20:00:00,3.684875770075551,-10.5,837.0,7.3,-22.14461774840887,25.82949351848442,-9.992096195986734,-11.1,7.3,850.0,-20.64214518160249,-13.4,7.3,850.0,-23.647090315215245,-4.3,7.3,862.0,23.73822144396292,6.539262910836392,-31.507317282626676,Yellow
IISC,2026-01-20 21:00:00,8.421100755168307,-12.9,843.0,7.7,-15.317120688794612,23.73822144396292,3.684875770075551,-10.5,7.3,837.0,-9.992096195986734,-11.1,7.3,850.0,-20.64214518160249,-13.4,7.3,850.0,15.436392895045724,2.48007467396292,-39.2113546224156,Green
IISC,2026-01-20 22:00:00,12.282782682090131,-11.4,817.0,7.7,-3.153610212955592,15.436392895045724,8.421100755168307,-12.9,7.7,843.0,3.684875770075551,-10.5,7.3,837.0,-9.992096195986734,-11.1,7.3,850.0,6.539262910836392,-13.38831070956681,-29.19049547263149,Green
IISC,2026-01-20 23:00:00,12.59225117345832,-8.6,796.0,7.7,6.052988262621929,6.539262910836392,12.282782682090131,-11.4,7.7,817.0,8.421100755168307,-12.9,7.7,843.0,3.684875770075551,-10.5,7.3,837.0,2.48007467396292,-31.507317282626676,-17.98451778877053,Green
IISC,2026-01-21 00:00:00,12.83201639259214,-4.0,782.0,7.3,10.35194171862922,2.48007467396292,12.59225117345832,-8.6,7.7,796.0,12.282782682090131,-11.4,7.7,817.0,8.421100755168307,-12.9,7.7,843.0,-13.38831070956681,-39.2113546224156,-22.469867178550032,Green
IISC,2026-01-21 01:00:00,-3.0363689909375884,-3.3,771.0,7.3,10.35194171862922,-13.38831070956681,12.83201639259214,-4.0,7.3,782.0,12.59225117345832,-8.6,7.7,796.0,12.282782682090131,-11.4,7.7,817.0,-31.507317282626676,-29.19049547263149,-19.7363465784019,Red
IISC,2026-01-21 02:00:00,-21.155375563997453,5.3,758.0,7.3,10.35194171862922,-31.507317282626676,-3.0363689909375884,-3.3,7.3,771.0,12.83201639259214,-4.0,7.3,782.0,12.59225117345832,-8.6,7.7,796.0,-39.2113546224156,-17.98451778877053,-7.591799551842627,Red
IISC,2026-01-21 03:00:00,-34.58814777683933,-2.1,770.0,6.7,4.623206845576272,-39.2113546224156,-21.155375563997453,5.3,7.3,758.0,-3.0363689909375884,-3.3,7.3,771.0,12.83201639259214,-4.0,7.3,782.0,-29.19049547263149,-22.469867178550032,-15.452408307702784,Red
IISC,2026-01-21 04:00:00,-41.28636775009901,-5.4,778.0,6.7,-12.09587227746752,-29.19049547263149,-34.58814777683933,-2.1,6.7,770.0,-21.155375563997453,5.3,7.3,758.0,-3.0363689909375884,-3.3,7.3,771.0,-17.98451778877053,-19.7363465784019,-23.25938675589063,Yellow
IISC,2026-01-21 05:00:00,-45.85627945918892,-3.1,747.0,6.7,-27.87176167041839,-17.98451778877053,-41.28636775009901,-5.4,6.7,778.0,-34.58814777683933,-2.1,6.7,770.0,-21.155375563997453,5.3,7.3,758.0,-22.469867178550032,-7.591799551842627,-8.480609812387982,Yellow
IISC,2026-01-21 06:00:00,-60.4071249420192,-5.7,736.0,7.0,-37.93725776346917,-22.469867178550032,-45.85627945918892,-3.1,6.7,747.0,-41.28636775009901,-5.4,6.7,778.0,-34.58814777683933,-2.1,6.7,770.0,-19.7363465784019,-15.452408307702784,5.32119666131959,Yellow
IISC,2026-01-21 07:00:00,-63.307670183045865,-5.4,725.0,7.0,-43.571323604643965,-19.7363465784019,-60.4071249420192,-5.7,7.0,736.0,-45.85627945918892,-3.1,6.7,747.0,-41.28636775009901,-5.4,6.7,778.0,-7.591799551842627,-23.25938675589063,20.029950475347057,Green
IISC,2026-01-21 08:00:00,-60.72350175244669,-6.0,713.0,7.0,-53.13170220060406,-7.591799551842627,-63.307670183045865,-5.4,7.0,725.0,-60.4071249420192,-5.7,7.0,736.0,-45.85627945918892,-3.1,6.7,747.0,-15.452408307702784,-8.480609812387982,32.38099802323066,Green
IISC,2026-01-21 09:00:00,-76.01772165493573,-5.9,704.0,6.3,-60.565313347232944,-15.452408307702784,-60.72350175244669,-6.0,7.0,713.0,-63.307670183045865,-5.4,7.0,725.0,-60.4071249420192,-5.7,7.0,736.0,-23.25938675589063,5.32119666131959,34.08876872846663,Yellow
IISC,2026-01-21 10:00:00,-85.2749727236369,-0.8,657.0,6.3,-62.01558596774628,-23.25938675589063,-76.01772165493573,-5.9,6.3,704.0,-60.72350175244669,-6.0,7.0,713.0,-63.307670183045865,-5.4,7.0,725.0,-8.480609812387982,20.029950475347057,26.114368644613208,Green
IISC,2026-01-21 11:00:00,-78.14330573137877,-2.6,648.0,6.3,-69.66269591899079,-8.480609812387982,-85.2749727236369,-0.8,6.3,657.0,-76.01772165493573,-5.9,6.3,704.0,-60.72350175244669,-6.0,7.0,713.0,5.32119666131959,32.38099802323066,16.230453656131473,Green
IISC,2026-01-21 12:00:00,-65.37532833229653,1.2,641.0,4.3,-70.69652499361612,5.32119666131959,-78.14330573137877,-2.6,6.3,648.0,-85.2749727236369,-0.8,6.3,657.0,-76.01772165493573,-5.9,6.3,704.0,20.029950475347057,34.08876872846663,14.10791735543506,Yellow
IISC,2026-01-21 13:00:00,-50.666574518269066,-1.0,636.0,4.3,-70.69652499361612,20.029950475347057,-65.37532833229653,1.2,4.3,641.0,-78.14330573137877,-2.6,6.3,648.0,-85.2749727236369,-0.8,6.3,657.0,32.38099802323066,26.114368644613208,13.931858652810584,Red
IISC,2026-01-21 14:00:00,-38.31552697038546,-2.0,631.0,4.3,-70.69652499361612,32.38099802323066,-50.666574518269066,-1.0,4.3,636.0,-65.37532833229653,1.2,4.3,641.0,-78.14330573137877,-2.6,6.3,648.0,34.08876872846663,16.230453656131473,13.461398321544191,Red
IISC,2026-01-21 15:00:00,-23.932182696816167,0.8,626.0,4.0,-58.0209514252828,34.08876872846663,-38.31552697038546,-2.0,4.3,631.0,-50.666574518269066,-1.0,4.3,636.0,-65.37532833229653,1.2,4.3,641.0,26.114368644613208,14.10791735543506,9.972051916126937,Yellow
IISC,2026-01-21 16:00:00,-18.37668209971406,0.2,622.0,4.0,-44.49105074432727,26.114368644613208,-23.932182696816167,0.8,4.0,626.0,-38.31552697038546,-2.0,4.3,631.0,-50.666574518269066,-1.0,4.3,636.0,16.230453656131473,13.931858652810584,12.373504519604698,Green
IISC,2026-01-21 17:00:00,-14.893401177469345,-1.4,597.0,4.0,-31.123854833600817,16.230453656131473,-18.37668209971406,0.2,4.0,622.0,-23.932182696816167,0.8,4.0,626.0,-38.31552697038546,-2.0,4.3,631.0,14.10791735543506,13.461398321544191,10.064247773606189,Green
IISC,2026-01-21 18:00:00,-7.046515042830056,-0.3,588.0,3.3,-21.154432398265115,14.10791735543506,-14.893401177469345,-1.4,4.0,597.0,-18.37668209971406,0.2,4.0,622.0,-23.932182696816167,0.8,4.0,626.0,13.931858652810584,9.972051916126937,,Green
IISC,2026-01-21 19:00:00,-2.7031829857811176,1.2,584.0,3.3,-16.6350416385917,13.931858652810584,-7.046515042830056,-0.3,3.3,588.0,-14.893401177469345,-1.4,4.0,597.0,-18.37668209971406,0.2,4.0,622.0,13.461398321544191,12.373504519604698,,Green
IISC,2026-01-21 20:00:00,2.4914402113944902,0.0,585.0,3.3,-10.9699581101497,13.461398321544191,-2.7031829857811176,1.2,3.3,584.0,-7.046515042830056,-0.3,3.3,588.0,-14.893401177469345,-1.4,4.0,597.0,9.972051916126937,10.064247773606189,,Green
IISC,2026-01-21 21:00:00,5.0972029018213485,0.5,579.0,2.7,-4.874849014305587,9.972051916126937,2.4914402113944902,0.0,3.3,585.0,-2.7031829857811176,1.2,3.3,584.0,-7.046515042830056,-0.3,3.3,588.0,12.373504519604698,,,Green
IISC,2026-01-21 22:00:00,12.267633132411383,0.3,585.0,2.7,-0.1058713871933136,12.373504519604698,5.0972029018213485,0.5,2.7,579.0,2.4914402113944902,0.0,3.3,585.0,-2.7031829857811176,1.2,3.3,584.0,10.064247773606189,,,Green
IITK,2026-01-15 03:00:00,-55.43242980326621,2.3,521.0,2.0,-49.87245423442137,-5.559975568844841,-60.59940955541056,0.0,2.7,542.0,-44.312478665576535,-0.6,2.7,550.0,-33.112247608735764,1.1,2.7,567.0,-4.585421859688907,-7.297648154328627,-13.426146723800535,Green
IITK,2026-01-15 04:00:00,-60.01785166295512,1.3,509.0,2.0,-55.43242980326621,-4.585421859688907,-55.43242980326621,2.3,2.0,521.0,-60.59940955541056,0.0,2.7,542.0,-44.312478665576535,-0.6,2.7,550.0,-6.361531796709585,-1.1076916696329704,-3.5462303373568176,Green
